state,city_brochure,brochure_ref,latitude,longitude,probable_center_1,center_1_address,center_1_evidence,probable_center_2,center_2_address,center_2_evidence,confidence,is_new_2025,was_in_2024,tcs_ion_confirmed,has_barch_college,notes,city_population_tier,year
Gujarat,Vadodara,7.2,22.3072,73.1812,"iON Digital Zone – Ananta Trendz, Gotri","3rd Floor, Ananta Trendz, Narayan Garden Road, Gotri, Vadodara-390021",TCS iON confirmed address,"MS University, Faculty of Technology",Vadodara-390001,Major public university,MEDIUM,False,True,True,False,,Tier-1,2025
Gujarat,Anand,7.3,22.5645,72.9289,Birla Vishvakarma Mahavidyalaya (BVM),"Vallabh Vidyanagar, Anand-388120",Major engineering college in Anand,"CHARUSAT, Changa","Changa, Ta. Petlad, Anand-388421",Private university near Anand,LOW,False,True,False,False,,Tier-3,2025
Gujarat,Surat,7.4,21.1702,72.8311,"iON Digital Zone – Platinum Plaza, Unn","2nd/3rd Floor, Platinum Plaza, Opp Summit Hotel, Udhna-Sachin BRTS Road, Surat-394211",TCS iON confirmed address,Sarvajanik College of Engg & Technology,"Dr RK Desai Marg, Athwalines, Surat-395001",Well-known engineering college,MEDIUM,False,True,True,False,,Tier-1,2025
Gujarat,Rajkot,7.5,22.3039,70.8022,Marwadi University,"Rajkot-Morbi Highway, Rajkot-360003",Major private university,RK University,"Rajkot-Bhavnagar Highway, Rajkot",Private university,LOW,False,True,False,False,,Tier-2,2025
Haryana,Faridabad,8.1,28.4089,77.3178,YMCA University of Science & Technology,"Sector-6, Mathura Road, Faridabad-121006",Major govt university,Manav Rachna International Institute,"Sector-43, Surajkund Road, Faridabad-121004",Has B.Arch program,MEDIUM,False,True,False,True,Near Delhi NCR,Tier-1,2025
Haryana,Gurgaon,8.2,28.4595,77.0266,Sushant University (formerly Ansal University),"Golf Course Road, Sector-55, Gurugram-122003",Offers B.Arch program,GD Goenka University,"Sohna Road, Gurugram-122103",Private university,LOW,False,True,False,True,,Tier-1,2025
Haryana,Sonipat,8.3,28.9931,77.0151,BPS Mahila Vishwavidyalaya,"Khanpur Kalan, Sonipat-131305",Major university in Sonipat,O.P. Jindal Global University,"Sonipat Narela Road, Sonipat-131001",Private university,LOW,False,True,False,False,,Tier-2,2025
Haryana,Jhajjar,8.4,28.6063,76.6556,Nearby engineering college / polytechnic,"Jhajjar, Haryana",District has limited options,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Jammu & Kashmir,Kakrial / Katra,9.1,32.9915,74.9473,Shri Mata Vaishno Devi University (SMVDU),"Kakryal, Katra-182320, J&K",Only major university near Katra,,,,LOW,True,False,False,False,Replaces Jammu/Srinagar,Tier-3,2025
Jharkhand,Ranchi,10.1,23.3441,85.3096,"iON Digital Zone – SRS Park, Tatisilwai","Plot No 13P, Tatisilwai Industrial Area, Phase-1, Khelgaon Road, Ranchi-835103",TCS iON confirmed address,BIT Mesra,"Mesra, Ranchi-835215",Premier technical institute,MEDIUM,False,True,True,False,,Tier-1,2025
Karnataka,Belgaum,11.1,15.8497,74.4977,KLE Technological University,"B.V. Bhoomreddi Campus, Vidyanagar, Belgaum-590008",Major private university,VTU Headquarters,"Machhe, Belgaum-590018",VTU HQ in Belgaum,MEDIUM,False,True,False,False,,Tier-2,2025
Karnataka,Bengaluru,11.2,12.9716,77.5946,"iON Digital Zone – SJM Infotech, Ullal Main Road","No 198-199, Mathrushree Complex, 6th Main, Annapoorneshwari Layout, Ullal Main Road, Bengaluru-560056",TCS iON confirmed address,BMS College of Architecture / RV College,"Bull Temple Road, Basavanagudi, Bengaluru-560019",Top architecture colleges,HIGH,False,True,True,True,"Metro city, multiple centers",Metro,2025
Karnataka,Bijapur,11.3,16.8302,75.71,BLDEA's College of Engineering & Technology,Vijayapura-586103,Major engineering college,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Karnataka,Dharwad,11.4,15.4589,75.0078,SDM College of Engineering & Technology,Dharwad-580002,Well-known engineering college,KLE Dr MS Sheshgiri College of Engg,"Udyambag, Belgaum Road, Dharwad",Major institution,LOW,True,False,False,False,New in 2025,Tier-2,2025
Karnataka,Kalburgi / Gulbarga,11.5,17.3297,76.8343,PDA College of Engineering,Gulbarga-585102,Prominent engineering college,University of Gulbarga,"Jnana Ganga, Gulbarga-585106",Public university,LOW,False,True,False,False,,Tier-2,2025
Karnataka,Hubali,11.6,15.3647,75.124,"iON Digital Zone – IBMR, Akshay Colony","Institute of Business Mgmt & Research, No 567, Akshay Colony, Vidyanagar, Hubballi-580021",TCS iON confirmed address,BVB College of Engineering & Technology,"Vidyanagar, Hubballi-580031",Well-known KLE institution,MEDIUM,False,True,True,False,,Tier-2,2025
Karnataka,Mangalore,11.7,12.8742,74.8426,"iON Digital Zone – MSNM Besant Institute, Bondel","MSNM Besant Institute of PG Management, Besant Vidya Kendra, Bondel, Mangaluru-575008",TCS iON confirmed address,NITK Surathkal,"Surathkal, Mangalore-575025",Premier national institute,MEDIUM,False,True,True,False,,Tier-1,2025
Karnataka,Manipal,11.8,13.3525,74.7928,Manipal Institute of Technology (MIT Manipal),"Manipal Academy of Higher Education, Manipal-576104",Top deemed university; School of Architecture,,,,MEDIUM,True,False,False,True,New in 2025; MIT likely host,Tier-2,2025
Karnataka,Mysuru,11.9,12.2958,76.6394,National Institute of Engineering (NIE),"Mananthavady Road, Mysuru-570008",Premier engineering college,JSS Science & Technology University,"JSS TI Campus, Mysuru-570006",Major private university,LOW,False,True,False,False,,Tier-1,2025
Karnataka,Tumkur,11.10,13.3379,77.1173,Siddaganga Institute of Technology,"B.H. Road, Tumkur-572103",Top Karnataka engineering college,,,,LOW,True,False,False,False,New in 2025,Tier-2,2025
Kerala,Ernakulum / Kochi,12.1,10.0159,76.3419,"Adi Shankara Institute of Engineering & Technology, Kalady","Vidya Bharathi Nagar, Mattoor, Kalady, Ernakulam-683574",TCS iON confirmed address,CUSAT (Cochin University),"South Kalamassery, Kochi-682022",Major public university,HIGH,False,True,True,False,,Tier-1,2025
Kerala,Kannur / Kollam,12.2,11.8745,75.3704,"Govt Engineering College, Kannur / TKM College, Kollam","Mangattuparamba, Kannur / Kollam-691005",Major govt engineering colleges,,,,LOW,False,True,False,False,Merged pair in 2025,Tier-2,2025
Kerala,Kottayam / Thrissur,12.3,10.0159,76.3419,"Govt Engineering College, Thrissur / CET Thrissur",Thrissur-680009,Major engineering colleges,"MG University, Kottayam","Priyadarshini Hills, Kottayam-686560",Large public university,LOW,False,True,False,False,Merged pair,Tier-2,2025
Kerala,Kozhikode / Mallapuram,12.4,11.2588,75.7804,"iON Digital Zone – KM Tower, Kozhikode","KM Tower, Behind Hotel Sangamam, Opp Medical College Hospital, Kozhikode-673008",TCS iON confirmed address,NIT Calicut,"Chathamangalam, Kozhikode-673601",Premier national institute; has B.Arch,MEDIUM,False,True,True,True,,Tier-1,2025
Kerala,Trivandrum / Pallakad,12.5,8.5241,76.9366,"Rajadhani Institute of Engg & Tech, Attingal","Nagaroor, Nedumparambu PO, Attingal, TVM-695102",TCS iON confirmed address,College of Engineering Trivandrum (CET),Thiruvananthapuram-695016,Premier state engineering college,MEDIUM,False,True,True,True,,Tier-1,2025
Madhya Pradesh,Bhopal / Gwalior / Jabalpur,13.1,23.2599,77.4126,"iON Digital Zone – Trinity Institute of Tech, Bhopal","Trinity Institute, Kokta Bypass, Raisen Road, Bhopal-462021",TCS iON confirmed (Bhopal),"iON Digital Zone – BVM Shiksha Samiti, Gwalior","Gram Rai, Chitoura Road, Morar, Gwalior-474006",TCS iON confirmed (Gwalior),HIGH,False,True,True,False,3-city merged; TCS iON in all three,Tier-1,2025
Madhya Pradesh,Indore / Sehore,13.2,22.7196,75.8577,"iON Digital Zone – Plexus IT, Dewas Naka, Indore","Plexus IT, Mangal Compound, Pipliya Kumar, Dewas Naka, Indore-452010",TCS iON confirmed address,IPS Academy / Sehore engineering colleges,"Knowledge Village, Rajendra Nagar, Indore",Major private institution,MEDIUM,False,True,True,False,,Tier-1,2025
Madhya Pradesh,Sagar,13.3,23.8388,78.7378,Dr. Hari Singh Gour University,"University Road, Sagar-470003",Central university in Sagar,,,,LOW,False,True,False,False,,Tier-3,2025
Maharashtra,Ahmednagar,14.1,19.0948,74.748,"Pravara Rural Engineering College, Loni","Loni, Tal. Rahata, Ahmednagar-413736",Major engineering college,,,,LOW,False,True,False,False,,Tier-2,2025
Maharashtra,Akola,14.2,20.7002,77.0082,P.R. Pote Patil College of Engineering,"Kathora Road, Amravati-444004/Akola",Major engineering college,,,,LOW,False,True,False,False,,Tier-3,2025
Maharashtra,Amravati,14.3,20.9374,77.7796,"iON Digital Zone – Vinsar Infotech, Cityland","Lane C, Beside Sindh Hosiery, Cityland, Off NH6, Near Borgaon, Amravati-444901",TCS iON confirmed address,Govt College of Engineering Amravati,Amravati-444604,Major govt engineering college,MEDIUM,False,True,True,False,,Tier-2,2025
Maharashtra,Aurangabad,14.4,19.8762,75.3433,iON Digital Zone – Chikalthana MIDC,"E-50, Near CTR Mfg, Chikalthana MIDC, Aurangabad-431006",TCS iON confirmed address,"Govt College of Engineering, Aurangabad","Station Road, Aurangabad-431005",Govt engineering college,MEDIUM,False,True,True,False,,Tier-1,2025
Maharashtra,Baramati,14.5,18.1514,74.5815,Vidya Pratishthan's College of Engineering,"Vidyanagari, Baramati-413133",Major engineering institution,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Maharashtra,Kolhapur,14.6,16.705,74.2433,D.Y. Patil College of Engineering & Technology,"Kasaba Bavada, Kolhapur-416006",Major private engineering college,KIT's College of Engineering,Kolhapur-416234,Another institution,LOW,False,True,False,False,,Tier-2,2025
Maharashtra,Latur,14.7,18.4088,76.5604,VPM's Polytechnic / Engineering College,"Latur, Maharashtra",Major educational institution,,,,LOW,False,True,False,False,,Tier-3,2025
Maharashtra,Mumbai,14.8,19.076,72.8777,"iON Digital Zone – Aurum IT Park, Powai","Aurum IT Park, Morarji Nagar, Near Hotel Ramada, Powai, Mumbai-400087",TCS iON confirmed address,Sir JJ College of Architecture,"Dr DN Road, Fort, Mumbai-400001",India's oldest architecture college,HIGH,False,True,True,True,"Metro, multiple centers",Metro,2025
Maharashtra,Nagpur,14.9,21.1458,79.0882,"iON Digital Zone – Nrupali Infotech, Wadi MIDC","Plot 128, Bombay Truck Terminus Trust, Behind PNB, MIDC Wadi, Nagpur-440024",TCS iON confirmed address,VNIT Nagpur,"South Ambazari Road, Nagpur-440010",Premier national institute,HIGH,False,True,True,True,,Tier-1,2025
Maharashtra,Nashik,14.10,19.9975,73.7898,K.K. Wagh Institute of Engineering Education,"Hirabai Haridas Vidyanagari, Amrutdham, Panchavati, Nashik-422003",Major private engineering institution,MVP's College of Engineering,Nashik-422004,Another institution,LOW,False,True,False,False,,Tier-1,2025
Maharashtra,Navi Mumbai,14.11,19.033,73.0297,Pillai HOC College of Engineering / DY Patil University,"Rasayani / Nerul, Navi Mumbai",Major institutions in Navi Mumbai,,,,LOW,False,True,False,True,,Tier-1,2025
Maharashtra,Pune,14.12,18.5204,73.8567,"iON Digital Zone – MCB Business Solutions, Narhe","Navle IT Zone, Phase 3, Behind Union Bank, Near Navle Bridge, Narhe, Pune-411041",TCS iON confirmed address,COEP Technological University,"Wellesley Road, Shivajinagar, Pune-411005",Premier institution,HIGH,False,True,True,True,"Major city, multiple centers",Metro,2025
Maharashtra,Raigarh,14.13,18.2932,73.1175,Finolex Academy of Management & Technology area,Ratnagiri/Raigarh area,Engineering college,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Maharashtra,Ramtek,14.14,21.3953,79.3271,Prof Ram Meghe College of Engg & Management,"Badnera Road, Amravati/Ramtek",Major engineering college in Ramtek,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Maharashtra,Sangli,14.15,16.8524,74.5815,Walchand College of Engineering,"Vishrambag, Sangli-416415",Top-tier autonomous engineering college,,,,MEDIUM,False,True,False,False,,Tier-2,2025
Maharashtra,Satara,14.16,17.6805,74.0183,Karmaveer Bhaurao Patil College of Engineering,Satara-415001,Engineering college in Satara,,,,LOW,False,True,False,False,,Tier-3,2025
Maharashtra,Solapur,14.17,17.6599,75.9064,Walchand Institute of Technology,"Ashok Chowk, Solapur-413006",Major engineering institution,,,,LOW,False,True,False,False,,Tier-2,2025
Mizoram,Aizawl,15.1,23.7271,92.7176,NIT Mizoram,"Chaltlang, Aizawl-796012",NIT campus in Aizawl,Mizoram University,"Tanhril, Aizawl-796004",Central university,LOW,False,True,False,False,Limited options in NE,Tier-3,2025
Odisha,Bhubaneswar,16.1,20.2961,85.8245,"iON Digital Zone – Koustuv Technical Campus, Patia","Koustuv Technical Campus, KISD/CEB, Plot 2, Sector B, Patia, Bhubaneswar-751024",TCS iON confirmed address,KIIT University,"Patia, Bhubaneswar-751024",Major private university,HIGH,False,True,True,False,,Tier-1,2025
Odisha,Cuttack,16.2,20.4625,85.883,CET Bhubaneswar (nearby) / Ravenshaw University,Cuttack-753003,Historic public university,,,,LOW,False,True,False,False,,Tier-2,2025
Puducherry,Puducherry,17.1,11.9416,79.8083,Manakula Vinayagar Institute of Technology,"Kalitheerthalkuppam, Madagadipet Commune, Puducherry-605107",TCS iON confirmed address,,,,HIGH,False,True,True,False,,Tier-2,2025
Punjab,Ludhiana,18.1,30.901,75.8573,Guru Nanak Dev Engineering College,"Gill Road, Ludhiana-141006",Premier engineering college,PAU (Punjab Agricultural University),"Ferozepur Road, Ludhiana-141004",Large campus,LOW,False,True,False,False,,Tier-1,2025
Punjab,Mandi Gobindgarh,18.2,30.6686,76.2991,Chandigarh Group of Colleges / Desh Bhagat University area,NH-1 corridor near Mandi Gobindgarh,Engineering institutions,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Punjab,Mohali,18.3,30.7046,76.7179,"iON Digital Zone – Plot 28, Industrial Area Phase 1, Chandigarh","Plot 28, Industrial Area Phase 1, Above HDFC Bank, Chandigarh-160002",TCS iON confirmed address (Chandigarh/Mohali),Chitkara University,"Rajpura-Patiala Highway, Mohali-140401",Major private university,MEDIUM,False,True,True,False,,Tier-1,2025
Punjab,Phagwara,18.4,31.224,75.7708,Lovely Professional University (LPU),"Jalandhar-Delhi GT Road, Phagwara-144411",Largest private university in Punjab; offers B.Arch,,,,MEDIUM,True,False,False,True,LPU is strong candidate,Tier-2,2025
Rajasthan,Jaipur,20.1,26.9124,75.7873,Rajasthan College of Engineering for Women,"Bhankrota, Ajmer Road, Jaipur",TCS iON confirmed address,MNIT Jaipur,"Malaviya Nagar, JLN Marg, Jaipur-302017",Premier national institute,HIGH,False,True,True,False,,Tier-1,2025
Rajasthan,Tonk,20.2,26.1665,75.7885,"Govt Engineering College, Tonk / Vivekananda Global University","Tonk, Rajasthan",Engineering institutions in Tonk,,,,LOW,True,False,False,False,New in 2025,Tier-3,2025
Tamil Nadu,Chennai,19.1,13.0827,80.2707,"Chennai Institute of Technology (CIT), Kundrathur","iON Digital Zone, 2nd Floor, CIT, Sarathy Nagar, Kundrathur, Chennai-600069",TCS iON confirmed address,"SRM Institute of Science & Technology, Kattankulathur","SRM Nagar, Kattankulathur, Chengalpattu-603203",Self-announced NATA approved test center,HIGH,False,True,True,True,Both TCS iON + SRM confirmed,Metro,2025
Tamil Nadu,Chengulput District,19.2,12.6819,79.9888,"SRM IST, Kattankulathur","SRM Nagar, Kattankulathur, Chengalpattu-603203",SRM campus is in Chengalpattu; announced NATA center,Panimalar Engineering College area,Chennai-Bangalore Highway,Major engineering college,HIGH,True,False,False,True,SRM likely primary center,Tier-2,2025
Tamil Nadu,Coimbatore,19.3,11.0168,76.9558,"Ranganathan Engineering College (REC), Thondamuthur","REC Kalvi Nagar, Viraliyur Post, Thondamuthur via, Coimbatore-641109",TCS iON confirmed address,PSG College of Technology,"Peelamedu, Coimbatore-641004",Top engineering college,HIGH,False,True,True,True,TCS iON confirmed,Tier-1,2025
Tamil Nadu,Dindigul,19.4,10.3624,77.9695,PSNA College of Engineering & Technology,"Kothandaraman Nagar, Dindigul-624622",Largest engineering college in Dindigul,Vickram College of Engineering,"Enathi, Dindigul",Engineering institution,LOW,True,False,False,True,New in 2025; 5 arch colleges in district,Tier-3,2025
Tamil Nadu,Erode,19.5,11.341,77.7172,JKK Munirajah College of Technology / Nandha Engg College,"Gobi Road, Erode",Major engineering colleges,"Kongu Engineering College, Perundurai",Perundurai-638060,Top private college nearby,LOW,True,False,False,True,New in 2025,Tier-2,2025
Tamil Nadu,Hosur,19.6,12.7409,77.8253,Adhiyamaan College of Engineering,"Dr MGR Nagar, Hosur-635109",Major private engineering college,Sri Venkateshwara College of Engineering,Hosur area,Engineering college,LOW,True,False,False,True,New in 2025; 1 arch college,Tier-2,2025
Tamil Nadu,Kancheepuram,19.7,12.8185,79.6947,Sri Muthukumaran Inst of Tech / Jeppiaar Engg College,Kundrathur-Kancheepuram corridor,Engineering colleges on corridor,,,,LOW,True,False,False,False,New in 2025,Tier-2,2025
Tamil Nadu,Kanya Kumari,19.8,8.0883,77.5385,Cape Institute of Technology,"Levingipuram, Kanyakumari-629301",Engineering college in KK district,S Veerasamy Chettiar College of Engg,Puliangudi area,Nearby institution,LOW,True,False,False,False,Replaces Nagercoil from 2024,Tier-3,2025
Tamil Nadu,Marthandam,19.9,8.3082,77.2225,Marthandam College of Engg & Technology,"Kuttakuzhi, Marthandam-629177",Local engineering college,Sun College of Engg & Technology,Nagercoil area,Nearby institution,LOW,True,False,False,False,New in 2025,Tier-3,2025
Tamil Nadu,Nammakal,19.10,11.2189,78.1674,K.S.R. College of Engineering,"Tiruchengode, Namakkal-637215",Major engineering institution,Sengunthar Engineering College,"Tiruchengode, Namakkal",Another institution,LOW,True,False,False,False,New in 2025; 3-4 arch colleges,Tier-3,2025
Tamil Nadu,Nagapattinam,19.11,10.7672,79.8449,Pavendar Bharathidasan College of Engg & Tech,Nagapattinam district,Engineering college,"FEAT, Thanjavur area (nearby)",Thanjavur,Architecture college nearby,LOW,True,False,False,False,New in 2025; 2 arch colleges,Tier-3,2025
Tamil Nadu,Thanjavur,19.12,10.787,79.1378,Periyar Maniammai Institute of Science & Technology,"Vallam, Thanjavur-613403",Deemed university with B.Arch,"FEAT – Faculty of Engg & Architecture, Thanjavur",Thanjavur area,Architecture institution,MEDIUM,True,False,False,True,Has B.Arch colleges in district,Tier-2,2025
Tamil Nadu,Tiruvallur,19.13,13.1431,79.9095,Velammal Engineering College / Panimalar Engg College,Ambattur-Red Hills Road / Chennai-Tiruvallur corridor,Major engineering colleges,Sri Sairam Engineering College,West Tambaram area,Large institution,LOW,True,False,False,False,New in 2025,Tier-2,2025
Tamil Nadu,Trichy,19.14,10.7905,78.7047,"M.A.M College of Engg & Technology, Siruganur","Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105",TCS iON confirmed address,NIT Tiruchirappalli,"Thuvakudi, Trichy-620015",Premier national institute; has arch dept,HIGH,False,True,True,True,TCS iON confirmed,Tier-1,2025
Tamil Nadu,Ooty / Nilgiris,19.15,11.4102,76.695,"Govt Polytechnic College / Arts College, Ooty","Ooty, Nilgiris-643001",Limited technical institutions,,,,LOW,True,False,False,True,New in 2025; 1 arch college,Tier-3,2025
Tamil Nadu,Vellore,19.16,12.9165,79.1325,VIT Vellore,"VIT University, Katpadi, Vellore-632014",Major deemed university; offers B.Arch,Sasurie Academy of Engineering,Vellore area,Local engineering college,MEDIUM,False,True,False,True,VIT is strong candidate,Tier-1,2025
Tamil Nadu,Villupuram,19.17,11.9401,79.4861,Arignar Anna Govt Arts College / Mailam Engg College,Villupuram,Engineering colleges in Villupuram,"Dhanalakshmi Srinivasan College, Perambalur",Perambalur area,Nearby institution,LOW,True,False,False,True,New in 2025; 1 arch college,Tier-3,2025
Tamil Nadu,Virudhunagar,19.18,9.5851,77.9525,"Kalasalingam Academy (KARE), Krishnankoil","Krishnankoil, Srivilliputhur, Virudhunagar-626126",Deemed university with B.Arch program,Arulmigu Kalasalingam College of Engg,Srivilliputhur,Engineering college,MEDIUM,True,False,False,True,Has B.Arch program,Tier-2,2025
Telangana,Hyderabad and Secunderabad,21.1,17.385,78.4867,"iON Digital Zone – CVK Technologies, Moula Ali","Plot 12, Near Coca Cola Factory, NFC Road, Opp Jubilant Foods, Moula Ali, RR Dist-500040",TCS iON confirmed address,JNAFAU (JN Architecture & Fine Arts University),"Mahavir Marg, Masab Tank, Hyderabad-500028",Premier architecture university,HIGH,False,True,True,True,"Metro city, multiple centers",Metro,2025
Telangana,Outer Periphery Twin Cities,21.2,17.44,78.3489,Mahindra University / GITAM Hyderabad,"Bahadurpally / Shamirpet, Hyderabad outskirts",New universities on outskirts,,,,LOW,True,False,False,False,New in 2025,Tier-2,2025
Uttar Pradesh,Kanpur,22.1,26.4499,80.3319,"iON Digital Zone – Kasha Grovel, Panki Industrial Area","E-17, Site 1, Dadanagar, Panki Industrial Area, Near Thumsup Tiraha, Kanpur-208022",TCS iON confirmed address,IIT Kanpur / HBTU Kanpur,"Kalyanpur, Kanpur-208016",Premier institutions,MEDIUM,False,True,True,False,,Tier-1,2025
Uttar Pradesh,Ghaziabad,22.2,28.6692,77.4538,ABES Engineering College / IMS Engineering College,Ghaziabad-201009,Major private engineering colleges,,,,LOW,False,True,False,False,,Tier-1,2025
Uttar Pradesh,Greater Noida,22.3,28.4744,77.504,Galgotias University,"Plot 2, Sector 17-A, Yamuna Expressway, Greater Noida-203201",Major private university,Sharda University,"Plot 32-34, Knowledge Park III, Greater Noida-201310",Large private university,LOW,False,True,False,True,,Tier-1,2025
Uttar Pradesh,Jhansi,22.4,25.4484,78.5685,Bundelkhand University / BIET,Jhansi-284128,Major institutions,,,,LOW,False,True,False,False,,Tier-2,2025
Uttar Pradesh,Lucknow,22.5,26.8467,80.9462,"iON Digital Zone – Cosmo Foundation, Jankipuram Extension","Opp SEWA Hospital, Sitapur Road, Behind CDRI, Jankipuram Ext, Lucknow-226031",TCS iON confirmed address,IIT Lucknow / BBD University,Lucknow area,Major institutions,MEDIUM,False,True,True,False,,Tier-1,2025
Uttar Pradesh,Muzaffarnagar,22.6,29.4727,77.7085,Local engineering colleges / polytechnic,"Muzaffarnagar, UP",Limited major institutions,,,,LOW,False,True,False,False,,Tier-3,2025
Uttar Pradesh,Noida,22.7,28.5355,77.391,"iON Digital Zone – Sector 62, Noida","C 30/7A, Sector 62, Noida-201309",TCS iON confirmed address,Amity University / Jaypee Institute,"Sector 125, Noida-201313",Major private universities,HIGH,False,True,True,True,TCS iON confirmed,Tier-1,2025
Uttarakhand,Dehradun,23.1,30.3165,78.0322,"Uttaranchal University, Prem Nagar","Arcadia Grant, PO Chandanwari, Chakrata Rd, Prem Nagar, Dehradun-248007",TCS iON confirmed address,DIT University / Graphic Era University,Dehradun area,Major private universities,HIGH,False,True,True,False,TCS iON confirmed,Tier-1,2025
West Bengal,Durgapur,24.1,23.5204,87.3119,Sanaka Educational Trust Group of Institutions,"Village Malandighi, PS Kanksha, Durgapur-713212",TCS iON confirmed address,NIT Durgapur,"Mahatma Gandhi Avenue, Durgapur-713209",Premier national institute,HIGH,False,True,True,False,TCS iON confirmed,Tier-2,2025
West Bengal,Howrah,24.2,22.5958,88.2636,IIEST Shibpur,"PO Botanic Garden, Howrah-711103",Premier institution; has architecture dept,Howrah engineering colleges,Howrah area,Local institutions,MEDIUM,False,True,False,True,IIEST has architecture program,Tier-1,2025
International,Dubai (UAE),,25.2048,55.2708,"Manipal Academy of Higher Education, Dubai Campus",Dubai International Academic City,Major Indian university Dubai campus,BITS Pilani Dubai / Amity Dubai,Dubai Academic City,Indian institutions in Dubai,LOW,False,True,False,False,International center,International,2025
